City / Centre,Craft / Speciality,Category,GI status,Artisan hub / market,Artisan community,What it is,Tourism relevance,District,Source
Jaipur,Gemstone cutting & polishing,Jewellery & Bangles,No GI / unverified,"Johari Bazaar, Chandpole, Gem Bhawan",Traditional lapidary families,World-scale hub for cutting emeralds and coloured stones; thousands of home-based karigars,Certification matters; fake-gem scams common with tourists,Jaipur,https://timesofindia.indiatimes.com/life-style/travel/10-things-to-buy-in-jaipur-a-complete-guide-to-buying-authentic-products-at-reasonable-prices/articleshow/125791805.cms
Jaipur,Kathputli (string puppets),Puppetry & Toys,GI tagged,"Bassi (Chittorgarh) supply chain, Jaipur haats",Bhat community,"Carved wooden string puppets with bright costumes, used in folk storytelling performances",Puppet shows are a staple of hotel and village-tourism evenings,Jaipur,https://ipindia.gov.in/frontend/pdf/gi/registered/Total_Registered_GI_details_of_GI_Application_in_India.pdf
Jaipur,Jaipuri razai (lightweight quilts),Textile & Tie-dye,No GI / unverified,"Bapu Bazaar, Johari Bazaar",Local quilt-making households,Very light cotton/lambswool-filled quilts with block-printed covers,Frequently shipped abroad by tourists,Jaipur,https://www.swantour.com/blogs/information-on-arts-and-crafts-of-rajasthan
Jaisalmer,Yellow-sandstone jali carving,Stone & Marble,No GI / unverified,Jaisalmer fort area stone workshops,Silawat stone-carver community,"Lattice (jali) and relief carving in local yellow sandstone, seen in havelis and sold as small artefacts",Directly tied to haveli sightseeing; miniatures sold as souvenirs,Jaisalmer,https://www.tourism.rajasthan.gov.in/barmer.html
Jaisalmer,"Patchwork, embroidery & camel-leather goods",Embroidery; Leather & Footwear,No GI / unverified,"Sadar Bazaar, Manak Chowk",Desert artisan households,"Mirror-work patchwork textiles, embroidered bags and camel-leather items sold along the desert circuit",Heavy tourist market - quality and price transparency are weak points,Jaisalmer,https://www.tourism.rajasthan.gov.in/barmer.html
Jaisalmer,Jaisalmer camel-wool pattu & mirror-work odhni,Handloom Weaving; Embroidery,No GI / unverified,Villages near Sam and Khuri dunes,Meghwal weavers & embroiderers,Desert handloom pattu shawls in sheep/camel wool and heavily mirrored odhnis woven and embroidered in villages around Jaisalmer,Sold at desert camps - ideal for verified artisan listings,Jaisalmer,https://ruralhandmade.com/blog/geographical-indications-and-the-traditional-crafts-of
Jhunjhunu (Shekhawati),Shekhawati fresco (haveli wall painting),Painting & Art,No GI / unverified,"Nawalgarh (Podar, Morarka havelis), Mandawa, Fatehpur",Chitera painters (Kumhar & Chhipa lineages),World's largest concentration of painted havelis; frescoes made by hereditary chitera painters from Kumhar and Chhipa communities,Shekhawati 'open-air art gallery' circuit; restoration work needs trained artisans,"Jhunjhunu - Nawalgarh, Mandawa, Mukundgarh",https://hiddenrajasthan.com/fresco-art-shekhawati.html
Jhunjhunu (Shekhawati),"Shekhawati tie-dye, leheriya & Jhunjhunu bandhej work",Textile & Tie-dye; Embroidery,No GI / unverified,"Jhunjhunu, Nawalgarh and Mandawa bazaars",Rangrez & local artisan households,"Local tie-dye odhnis, leheriya and embroidery sold in Shekhawati town bazaars alongside haveli tourism",Pairs with haveli homestays; product quality varies widely - verification useful,Jhunjhunu,https://en.wikipedia.org/wiki/Bandhani
Jodhpur,Jodhpur Bandhej,Textile & Tie-dye,GI tagged,"Kapda Bazaar, Sardar Market belt",Khatri / Rangrez dyers,"Jodhpur's distinctive tie-and-dye textile tradition, GI-certified with NABARD support",Sold around Clock Tower market to heavy tourist footfall,Jodhpur,https://testbook.com/question-answer/which-states-traditional-products-recently--68386a98120b7f22d0f29417
Jodhpur,Jodhpuri Mojari (juttis),Leather & Footwear; Embroidery,GI tagged,Mochi Bazaar; Gram Vikas Seva Sansthan clusters,Mochi community,Nearly 200-year-old hand-stitched embroidered leather footwear; ~Rs 100 crore domestic and Rs 10 crore export market,Top souvenir purchase; GI certificate now helps prove authenticity,Jodhpur,https://indianexpress.com/article/cities/jaipur/from-200-year-old-tradition-to-rs-100-crore-footwear-business-jodhpuri-mojaris-journey-to-global-recognition-10781242
Jodhpur,Carved wooden furniture & antique-finish woodwork,Wood & Furniture,No GI / unverified,"Boranada industrial area, Handicraft exporters' belt",Suthar (carpenter) community,Hand-carved sheesham/mango-wood furniture; Jodhpur is India's largest handicraft-furniture export hub,Export-oriented; showroom tours common for buyers,Jodhpur,https://www.facebook.com/rajasthantourism/posts/a-proud-moment-for-rajasthans-rich-handicraft-heritage-as-the-iconic-jodhpur-moj/1500428972127724/
Jodhpur,Bone & horn craft,Metal Craft; Wood & Furniture,No GI / unverified,"Jodhpur handicraft cluster (with Bikaner, Barmer)",Traditional bone-carving artisans,"Inlay and carved articles using camel bone and horn, used in boxes, handles and decor",Sold through exporter showrooms and craft melas,Jodhpur,https://www.facebook.com/rajasthantourism/posts/a-proud-moment-for-rajasthans-rich-handicraft-heritage-as-the-iconic-jodhpur-moj/1500428972127724/
Kota,Kota Doria weaving,Handloom Weaving; Textile & Tie-dye,GI tagged,"Kaithun village, Kota handloom cluster",Ansari weaver community,Ultra-light chequered khat weave of cotton and silk on pit looms; one of Rajasthan's earliest GI crafts (2004-05),Weaver-village visits; sarees are a prime tourist buy,Kota,https://en.wikipedia.org/wiki/Geographical_indications_in_India
Molela (Rajsamand),Molela terracotta votive plaques,Pottery & Clay,GI tagged,"Molela village, near Nathdwara",Kumhar community of Molela,"Hollow clay relief plaques of deities made from Banas river nada and alu clay, used by tribal communities as shrines",Village craft-tourism stop; murals popular as decor exports,Rajsamand,https://imp-art.org/articles/molela-terracotta
Nagaur,Ravanhatha (folk string instrument),Musical Instruments,GI tagged,Nagaur and Jodhpur folk-artist villages,Nayak / Bhopa folk musician communities,"Bowed folk instrument of coconut shell, bamboo and strings, played by folk balladeers; recently GI-tagged for Rajasthan",Performed at forts and desert camps; sold as playable souvenirs,Nagaur / Jodhpur belt,https://www.facebook.com/handicraftsdc/posts/the-jodhpur-mojari-craft-and-the-traditional-ravanhatha-of-rajasthan-have-been-o/1347864174119140
Nagaur,Nagaur leather jutti craft,Leather & Footwear; Embroidery,No GI / unverified,Nagaur jutti workshops and local mandis,Mochi / Regar artisan families,Hand-stitched leather juttis with embroidered uppers and handcrafted leather soles; Nagaur is a long-standing jutti-making centre in Marwar,Cheaper counterpart to Jodhpuri mojari; strong direct-from-artisan angle,Nagaur (Marwar),https://www.directcreate.com/craft/mojari
Nagaur,Nagauri handmade iron & agricultural tool craft,Metal Craft,No GI / unverified,Nagaur town smithies; Ramdeo Pashu Mela belt,Lohar (blacksmith) community,"Traditional blacksmith work in iron implements, utensils and tack (Nagaur is also India's big cattle-fair town, sustaining leather and iron work)",Tied to Nagaur Cattle Fair tourism; needs field verification,Nagaur,https://www.swantour.com/blogs/information-on-arts-and-crafts-of-rajasthan
Nathdwara (Rajsamand),Nathdwara Pichwai painting,Painting & Art,GI tagged,Nathdwara temple-town studios,Nathdwara painter lineages (9+ generations),"400-year-old temple-cloth paintings of Shrinathji hung behind the deity; highly detailed, natural pigments",Pilgrimage-plus-craft circuit from Udaipur; big collector market,Rajsamand,https://www.craftsnchisel.com/blogs/indian-handicraft/traditional-art-of-pichwai-painting
Pali,Sojat Mehndi (henna),Textile & Tie-dye,GI tagged,Sojat mehndi mandi and processing units,Farmer-processor clusters,"Henna grown in Sojat's arid soil, prized for dye quality; the first mehndi in the world to get a GI tag",Mehndi application is a core tourist experience - GI gives a verifiable authenticity hook,Pali (Sojat),https://www.facebook.com/infoudh/posts/sojat-mehndisojat-mehndi-is-a-unique-and-traditional-product-from-rajasthan-it-o/780247397444884/
Pali,Balotra / Jasol-Pali block printing & dyeing,Block Printing; Textile & Tie-dye,No GI / unverified,Pali dyeing-printing units; Balotra nearby,"Chhipa printers, Khatri dyers","Lesser-known but significant block-print tradition alongside Sanganer and Bagru; Pali, Akola, Balotra and Barmer form the western printing-dyeing belt (Luni river historically used for washing/dyeing)",Also an environmental story - river pollution now threatens the craft,Pali - Balotra belt,https://rsisinternational.org/journals/ijriss/articles/nature-symbol-and-tradition-a-study-of-motif-vocabulary-in-balotra-block-prints-of-rajasthan
Pratapgarh,Thewa art,Jewellery & Bangles; Metal Craft,GI tagged,Pratapgarh Thewa cluster,Raj Soni family,"Openwork gold sheet fused onto coloured glass; invented by Nathuji Soni, practised by the Raj Soni family",Very small artisan base - strong story for authenticity/provenance tracking,Pratapgarh,https://dcmsme.gov.in/dips/2016-17/pratapgarh.pdf
Sanganer (Jaipur),Sanganeri hand-block print,Block Printing; Textile & Tie-dye,GI tagged,"Sanganer town printing units, Amanishah nala belt",Chhipa printer community,Fine floral block prints in bright colours on white ground; historic royal-patronage printing town,Printing-workshop tours; also famous for handmade paper,Jaipur,https://gaatha.org/Craft-of-India/research-rajasthan-sanganeri-block-print/
Sawai Madhopur,Ranthambore School of Art (wildlife painting),Painting & Art,No GI / unverified,"Studio at Sawai Madhopur tourist hub, near Ranthambore",Locally trained artist collective,"Oil, watercolour and charcoal tiger/wildlife paintings by local artists trained under the Ranthambhore Foundation; artists earn ~Rs 2,000-4,000 per artwork",Directly monetises Ranthambore tiger tourism; conservation-linked income,Sawai Madhopur,https://www.livemint.com/Leisure/zS1MdEfSktiPQTWamRzN3L/Ranthambore-Foundation--Call-from-the-wild.html
Sawai Madhopur,Dastkar Ranthambore bandhani & craft revival,Textile & Tie-dye; Embroidery,No GI / unverified,"Dastkar Ranthambhore craft centre, Kutalpura",Village women artisan groups (SHG model),"Revived village bandhani, patchwork and stitching cluster; grew from 100 bandhani workers in 1991 to 2,000+, with 370+ artisans directly empowered",One of India's best-known craft-tourism outlets beside a tiger reserve,Sawai Madhopur,https://www.dastkar.org/dastkar-ranthambore/
Udaipur,Safa / pagdi (turban tying & turban cloth),Textile & Tie-dye,No GI / unverified,"Bada Bazaar, Bapu Bazaar, Hathi Pol",Rangrez (dyers) & turban specialists,"Mewari turbans in leheriya, mothra and bandhej cloth; specialist tiers and cloth dyers",Turban-tying demos and wedding/photo tourism demand,Udaipur,https://en.wikipedia.org/wiki/Bandhani
Udaipur,Leheriya tie-dye,Textile & Tie-dye,No GI / unverified,"Hathi Pol, Bada Bazaar",Rangrez community,"Diagonal wave-pattern tie-dye on thin cotton/silk, made by rolling and binding the cloth",Iconic monsoon/festival wear sold to visitors,Udaipur,https://en.wikipedia.org/wiki/Bandhani
Udaipur,Bandhani (bandhej) tie-dye,Textile & Tie-dye,No GI / unverified,"Hathi Pol, Chetak Circle textile shops",Khatri & Rangrez communities,"Tie-dye with tiny tied dots forming motifs on dark grounds; Udaipur is a major Rajasthan centre alongside Jaipur, Ajmer and Bikaner",Easy-to-carry textile souvenir,Udaipur,https://imp-art.org/articles/bandhani
Udaipur,Koftgiri (gold/silver inlay on weapons & steel),Metal Craft,GI tagged,Udaipur old-city metal workshops,Sikligar / Usta-linked metal artisan families,"Fine gold and silver wire inlay engraved into steel, traditionally on swords, shields, daggers and armour",Explains the 'rifles/weapons' speciality of Udaipur; decorative arms sold as heritage collectibles,Udaipur,https://testbook.com/question-answer/which-states-traditional-products-recently--68386a98120b7f22d0f29417
Udaipur,"Traditional weapons & armour craft (swords, shields, matchlocks)",Metal Craft,No GI / unverified,Old city armoury workshops near City Palace,Sikligar community,Hand-forged and decorated Rajput arms; today mostly decorative replicas with koftgiri/meenakari finishing,Sold near City Palace; export rules apply to genuine antique arms,Udaipur,https://www.ripaonline.com/bikaner-usta-kala-craft/
